Code,"Long Name","Income Group","Region","Lending category","Other groups","Currency Unit","Latest population census","Latest household survey","Special Notes","National accounts base year","National accounts reference year","System of National Accounts","SNA price valuation","PPP survey years","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","2-alpha code","WB-2 code","Table Name","Short Name"
ARG,"Argentine Republic","Upper middle income","Latin America & Caribbean","IBRD","","Argentine peso","2022","Multiple Indicator Cluster Survey 2019-2020","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (�alternative conversion factor� - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","2004","","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017","BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2016","Yes","2008","2002","2018","AR","AR","Argentina","Argentina"
ARM,"Republic of Armenia","Upper middle income","Europe & Central Asia","IBRD","","Armenian dram","2011","Demographic and Health Survey 2015-2016","","Original chained constant price data are rescaled.","2012","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2014, 2011","BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2016","Yes","2014","","2018","AM","AM","Armenia","Armenia"
AUS,"Commonwealth of Australia","High income","East Asia & Pacific","","","Australian dollar","2016","","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","Original chained constant price data are rescaled.","2024","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2010","Yes","2015-2016","2013","2018","AU","AU","Australia","Australia"
AUT,"Republic of Austria","High income","Europe & Central Asia","","Euro area","Euro","2021","World Health Survey 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2020","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6","","Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Income survey (IS), 2015","Yes","2010","2014","2018","AT","AT","Austria","Austria"
AZE,"Republic of Azerbaijan","Upper middle income","Europe & Central Asia","IBRD","","New Azeri manat","2019","Demographic and Health Survey 2006","","Original chained constant price data are rescaled.","2005","Country uses the 1993 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2014, 2011","BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","Living Standards Measurement Study Survey (LSMS), 2012","Yes","2015","2013","2018","AZ","AZ","Azerbaijan","Azerbaijan"
BHR,"Kingdom of Bahrain","High income","Middle East & North Africa","","","Bahraini dinar","2020","Multiple Indicator Cluster Survey 2000, Round 2","","2010","","Country uses the 1993 System of National Accounts methodology","Value added at basic prices (VAB)","Annual estimation for 2011-2021","BPM6","","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","","Yes","2010","2013","2018","BH","BH","Bahrain","Bahrain"
BEL,"Kingdom of Belgium","High income","Europe & Central Asia","","Euro area","Euro","2021","World Health Survey 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2020","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Income survey (IS), 2015","Yes","2010","2014","2018","BE","BE","Belgium","Belgium"
BOL,"Plurinational State of Bolivia","Lower middle income","Latin America & Caribbean","IBRD","HIPC","Bolivian Boliviano","2012","Global School-based Student Health Survey 2012","","2017","","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2011","BPM6","Actual","General trade system","","Enhanced General Data Dissemination System (e-GDDS)","Integrated household survey (IHS), 2016","","2013","2010","2018","BO","BO","Bolivia","Bolivia, Plurinational State of"
BWA,"Republic of Botswana","Upper middle income","Sub-Saharan Africa","IBRD","","Botswana pula","2022","STEPwise Survey for Non Communicable Diseases Risk Factors 2014","","2016","","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015/16","","2015","2013","2018","BW","BW","Botswana","Botswana"
BRA,"Federative Republic of Brazil","Upper middle income","Latin America & Caribbean","IBRD","","Brazilian real","2022","World Health Survey 2003","","Original chained constant price data are rescaled.","2010","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2011","BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Integrated household survey (IHS), 2016","Yes","2006","2013","2018","BR","BR","Brazil","Brazil"
BGR,"Republic of Bulgaria","High income","Europe & Central Asia","IBRD","","Bulgarian lev","2021","Multitopic Household Survey 2007","","Original chained constant price data are rescaled.","2020","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6","","Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Expenditure survey/budget survey (ES/BS), 2014","Yes","2010","2014","2018","BG","BG","Bulgaria","Bulgaria"
CAN,"Canada","High income","North America","","","Canadian dollar","2016","","Fiscal year end: March 31; reporting period for national accounts data: CY.","Original chained constant price data are rescaled.","2020","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6","","General trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Labor force survey (LFS), 2013","Yes","2016","2014","2018","CA","CA","Canada","Canada"
CHL,"Republic of Chile","High income","Latin America & Caribbean","IBRD","","Chilean peso","2017","Global School-based Student Health Survey 2004","","Original chained constant price data are rescaled.","2018","Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6","","General trade system","","Special Data Dissemination Standard Plus (SDDS Plus)","Integrated household survey (IHS), 2017","Yes","2007","2013","2018","CL","CL","Chile","Chile"
