Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Argentina,ARG,243.7725665,254.181413504,305.102,311.720805,280.283172,81.12423,88.267613
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Armenia,ARM,..,..,..,0,0.3265,0.11692,1.347896
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Australia,AUS,1907.05190944687,1868.73262766,1982.586170817,2027.63710989603,1931.1555305,1316.50942,1244.7647
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Austria,AUT,351.379,387.739,391.268,373.511,320.036527,74.560823,125.155714
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Azerbaijan,AZE,686.94149,732.789755,61.6255,44.0886,1620.43791,2030.37809,3173.72377
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Bahrain,BHR,240.107004,387.310813088,390.39,420.98375,311.15413,191.96251,523.2992
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Belgium,BEL,1479.9763156,1505.4059084,1574.378609,1285.344187,1353.426977272,1265.065943534,1827.413026121
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Bolivia,BOL,9.93479748637544,9.008756313,9.48554381985556,13.7284774028928,22.980404,17.95563766,20.27706066
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Brazil,BRA,1493.939,1513.832873341,1736.549227,1845.64776,1521.14944,1209.70683,1294.48671
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Botswana,BWA,..,..,0.14564,0.113606,0.675495,..,0.063317
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Bulgaria,BGR,1.53095,1.76924764650873,1.71896,1.375,1.257,1.022,0.058087
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Canada,CAN,2074.830881067,2246.22709557467,2840.9851350232,2482,3109.04305844707,2306.166349,3240
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Chile,CHL,1392.236,1441.23,1237.960141,1226.44199,1232.41109,1458.39578,1283.99841
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,China,CHN,19805.63,21304.5851,23323.6147,25256.2071,25394.5878,19264.2436,20961.2116
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Croatia,HRV,0.77532,0.65658,0.58275,0.52979,0.4406,0.17935,0.14853
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Czechia,CZE,26.71765,25.294469,27.81465,25.22637,22.73254,4.323665454,0.47308
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Denmark,DNK,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Estonia,EST,0.870362136,0.003,..,0,0,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Finland,FIN,713.484,761.85394,852.01263,957.63859,1067.31511,480.37919,750.28925
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,France,FRA,4098.31,4155.407,4260.597,4443.789,4522.586,2467.943,4107.03
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Germany,DEU,6986.405444999,6942.706331998,7901.65234423,7969.86364,7763.61921423928,9166.3712826,11533.04853603
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Greece,GRC,26.10771098,23.993,23.525,21.909,23.90576,10.09844,12.4593
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Georgia,GEO,0.18504,0.18050796,0.4784,0.7509,0.640604,0.1347,0.11335
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Hungary,HUN,..,..,..,0,0,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,India,IND,1833.847614,1893.8815,2407.098107,2703.96417383,1938.232596,875.122843,907.929041
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Iceland,ISL,107.696809,128.008190221,166.75235,163.646108143,138.653502,135.059286,149.000507
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Indonesia,IDN,758.705163350469,974.556289,1052.36048,1131.913455454,981.74186,674.799378544,772.901013
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Ireland,IRL,138.58,118.207,154.38504,168.7117,174.5404,131.775022,86.36447
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Israel,ISR,758.633996,783.925,912.898,994.542,889.334,816.628,715.59
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Italy,ITA,945.2649666,1083.244836,1437.245062,1418.004731,1344.955151,978.76063,1150.691582
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Japan,JPN,8661.758,9360.888,10684.574,9420.659,8919.48,7841.508,10947.023
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"Korea, Rep.",KOR,11293.801266,10805.992,11511.801211,11518.6260683819,10664.3782296361,12456.57079,15370.019378
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Latvia,LVA,2.277996,2.157,2.83108,4.01487,5.1637624,4.32123,2.31822
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Lebanon,LBN,54.077,45.558,53.387,56.569,51.70094,19.11662,22.23564
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Lithuania,LTU,0.56564667,0.472,0.472,0,0,2.80719338834438,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Luxembourg,LUX,6309.473324,6877.761503,7321.11217,7323.03958,7188.04334,7344.759036,8588.53476
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Mexico,MEX,714.003211,760.849242,928.83550977,1062.987599,1072.52473,732.796479,962.569234
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Moldova,MDA,0.48963,0.486910181772908,0.55191,0.6445,1.22908832,0.45188,0.60711
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Mongolia,MNG,7.843989,8.02203384325573,8.36736,7.819001,7.38543,1.37475,0.168685
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Montenegro,MNE,..,0.0587,0.1119,0.1345,0.15295,..,0.0322728
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Morocco,MAR,52.913598,53.82625368,77.93581,97.71152,102.19214,46.244684,58.894368
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Nepal,NPL,4.536371616,4.895080058,4.5668399023,8.84572,5.847551,13.689186,17.307683
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Namibia,NAM,30.302405,21.084889,22.206886,26.293869,6.900144,1.636713284,0.000290479
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Netherlands,NLD,5292.794684592,4745.958515461,5855.480475616,5886.51490365179,5656.442,4145.02216,4346.39907
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,New Zealand,NZL,1155.45872005615,1231.85419306685,1335.95320545677,1349.29523130803,1207.88220494,773.953135823,317.589119892521
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Norway,NOR,..,..,..,..,..,..,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Oman,OMN,412.234008,425.202175,434.92173,510.425983,566.923,51.918137,254.45727
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Pakistan,PAK,183.17731267,175.4744,214.52857,217.534134,192.977927,95.88035,75.60493
