Country Name,An,"Air transport, freight (million ton-km)",GDP (current US$),"Population, total","Railways, goods transported (million ton-km)",Region,Income Group
Argentina,2015,243.7725665,594749285413.212,43477012.0,8274.0,Latin America & Caribbean,Upper middle income
Argentina,2016,254.181413504,557532320662.955,43900313.0,8529.0,Latin America & Caribbean,Upper middle income
Argentina,2017,305.102,643628393281.364,44288894.0,8377.0,Latin America & Caribbean,Upper middle income
Argentina,2018,311.720805,524819892360.176,44654882.0,,Latin America & Caribbean,Upper middle income
Argentina,2019,280.283172,447754683615.225,44973465.0,,Latin America & Caribbean,Upper middle income
Argentina,2020,81.12423,385740508436.965,45191965.0,,Latin America & Caribbean,Upper middle income
Argentina,2021,88.267613,486564085480.036,45312281.0,,Latin America & Caribbean,Upper middle income
Armenia,2015,,10553337518.414,3004600.0,640.0,Europe & Central Asia,Upper middle income
Armenia,2016,,10546136235.5219,2992300.0,658.0,Europe & Central Asia,Upper middle income
Armenia,2017,,11527458709.0158,2979400.0,689.46,Europe & Central Asia,Upper middle income
Armenia,2018,0.0,12457940694.7395,2969000.0,730.0,Europe & Central Asia,Upper middle income
Armenia,2019,0.3265,13619290539.2116,2962500.0,860.0,Europe & Central Asia,Upper middle income
Armenia,2020,0.11692,12641698583.2152,2961500.0,840.0,Europe & Central Asia,Upper middle income
Armenia,2021,1.347896,13878908628.9378,2962300.0,,Europe & Central Asia,Upper middle income
Australia,2015,1907.05190944687,1356805839935.9,23815995.0,401600.0,East Asia & Pacific,High income
Australia,2016,1868.73262766,1211588128417.61,24190907.0,413490.0,East Asia & Pacific,High income
Australia,2017,1982.586170817,1330890554614.09,24592588.0,431307.31114667,East Asia & Pacific,High income
Australia,2018,2027.63710989603,1433144978761.67,24963258.0,441273.24126364,East Asia & Pacific,High income
Australia,2019,1931.1555305,1398349602956.35,25334826.0,443004.62783715,East Asia & Pacific,High income
Australia,2020,1316.50942,1333336461648.09,25649248.0,447434.67411552,East Asia & Pacific,High income
Australia,2021,1244.7647,1560617493202.69,25685412.0,453091.00602501,East Asia & Pacific,High income
Austria,2015,351.379,379546097300.633,8642699.0,20814.0,Europe & Central Asia,High income
Austria,2016,387.739,393687359770.273,8736668.0,21361.0,Europe & Central Asia,High income
Austria,2017,391.268,414926138132.691,8797566.0,22256.0,Europe & Central Asia,High income
Austria,2018,373.511,452582294972.775,8840521.0,21996.241,Europe & Central Asia,High income
Austria,2019,320.036527,442983642371.842,8879920.0,21736.0,Europe & Central Asia,High income
Austria,2020,74.560823,434397601557.696,8916864.0,20498.028,Europe & Central Asia,High income
Austria,2021,125.155714,480466363176.806,8955797.0,21780.869,Europe & Central Asia,High income
Azerbaijan,2015,686.94149,53076235354.746,9649341.0,6210.0,Europe & Central Asia,Upper middle income
Azerbaijan,2016,732.789755,37866996882.9157,9757812.0,5192.0,Europe & Central Asia,Upper middle income
Azerbaijan,2017,61.6255,40866627351.9817,9854033.0,4633.0,Europe & Central Asia,Upper middle income
Azerbaijan,2018,44.0886,47112470051.7701,9939771.0,4492.0,Europe & Central Asia,Upper middle income
Azerbaijan,2019,1620.43791,48174235294.1176,10024283.0,5152.0,Europe & Central Asia,Upper middle income
Azerbaijan,2020,2030.37809,42693000000.0,10093121.0,4861.0,Europe & Central Asia,Upper middle income
Azerbaijan,2021,3173.72377,54825411764.7059,10137750.0,5316.0,Europe & Central Asia,Upper middle income
Bahrain,2015,240.107004,32523297872.3404,1370322.0,,Middle East & North Africa,High income
Bahrain,2016,387.310813088,33884680851.0638,1423726.0,,Middle East & North Africa,High income
Bahrain,2017,390.39,37204813829.7872,1501116.0,,Middle East & North Africa,High income
Bahrain,2018,420.98375,39567978723.4043,1503091.0,,Middle East & North Africa,High income
Bahrain,2019,311.15413,40446808510.6383,1483756.0,,Middle East & North Africa,High income
Bahrain,2020,191.96251,35837632978.7234,1472204.0,,Middle East & North Africa,High income
Bahrain,2021,523.2992,40840212765.9574,1504365.0,,Middle East & North Africa,High income
Belgium,2015,1479.9763156,461044767544.531,11274196.0,,Europe & Central Asia,High income
Belgium,2016,1505.4059084,474271566739.729,11331422.0,,Europe & Central Asia,High income
Belgium,2017,1574.378609,500908767351.53,11375158.0,,Europe & Central Asia,High income
Belgium,2018,1285.344187,542638913427.921,11427054.0,,Europe & Central Asia,High income
Belgium,2019,1353.426977272,536726344405.489,11488980.0,,Europe & Central Asia,High income
Belgium,2020,1265.065943534,529694473501.791,11538604.0,,Europe & Central Asia,High income
Belgium,2021,1827.413026121,598522422241.851,11586195.0,,Europe & Central Asia,High income
Bolivia,2015,9.93479748637544,33000198248.9146,11014705.0,,Latin America & Caribbean,Lower middle income
Bolivia,2016,9.008756313,33941126193.9219,11180020.0,,Latin America & Caribbean,Lower middle income
Bolivia,2017,9.48554381985556,45927439594.7902,11344587.0,,Latin America & Caribbean,Lower middle income
Bolivia,2018,13.7284774028928,48414038842.2576,11508368.0,,Latin America & Caribbean,Lower middle income
Bolivia,2019,22.980404,49056643589.0014,11671386.0,,Latin America & Caribbean,Lower middle income
Bolivia,2020,17.95563766,42313784081.042,11816299.0,,Latin America & Caribbean,Lower middle income
Bolivia,2021,20.27706066,47877892402.3155,11937360.0,,Latin America & Caribbean,Lower middle income
Botswana,2015,,13530748844.505,2203273.0,,Sub-Saharan Africa,Upper middle income
Botswana,2016,,15082637184.0496,2234776.0,,Sub-Saharan Africa,Upper middle income
